Model,Mileage,City,Year,Dealer,Price
Fusion Hybrid,"52,618 Miles",Montclair,2018,Montclair Auto Exchange,"$18,502"
Fusion Energi,"68,878 Miles",Montclair,2017,Montclair Auto Exchange,"$17,413"
Escape,"20,032 Miles",Norco,2021,CarMax Norco - Now Offering Curbside Pickup & Home Delivery,"$26,998"
Escape,"60,292 Miles",Montclair,2018,Montclair Auto Exchange,"$16,324"
Fusion,"54,599 Miles",Azusa,2018,California Motor Trade 2,"$16,499"
Escape,"40,696 Miles",Norwalk,2021,Hertz Car Sales Norwalk,"$20,696"
Flex,"75,223 Miles",Norco,2017,CarMax Norco - Now Offering Curbside Pickup & Home Delivery,"$19,998"
Fusion,"83,434 Miles",Palmdale,2019,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$16,998"
Mustang,"53,397 Miles",Montclair,2017,Montclair Auto Exchange,"$27,065"
Mustang,"39,212 Miles",Victorville,2019,Avis Car Sales - Victorville,"$32,395"
Taurus,"130,347 Miles",Santa Ana,2013,California Motors Direct,"$9,691"
Fusion Hybrid,"66,142 Miles",Azusa,2019,California Motor Trade 2,"$17,399"
Flex,"91,717 Miles",Montclair,2014,Montclair Auto Exchange,"$15,799"
Escape,"78,432 Miles",Commerce,2017,Shift LA - Test Drives Delivered To You,"$16,950"
Mustang,"29,366 Miles",Moreno Valley,2019,Moss Bros Chrysler Jeep Dodge Moreno Valley,"$24,649"
Flex,"98,032 Miles",Azusa,2017,California Motor Trade 2,"$16,499"
F-150,"39,740 Miles",Victorville,2019,Avis Car Sales - Victorville,"$30,995"
Escape,"42,432 Miles",Palmdale,2018,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$21,998"
Escape Plug-In Hybrid,"6,430 Miles",Palmdale,2022,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$38,998"
Escape,"50,593 Miles",Anaheim,2021,Hertz Car Sales Anaheim,"$24,299"
Mustang,"39,169 Miles",Victorville,2019,Avis Car Sales - Victorville,"$23,995"
Bronco,"10,766 Miles",Culver City,2022,Culver City Honda,"$61,894"
Fusion Hybrid,"82,991 Miles",Fontana,2019,Fontana Motors Direct,"$16,499"
Mustang,"37,660 Miles",Victorville,2019,Avis Car Sales - Victorville,"$23,995"
Explorer,"103,355 Miles",Bakersfield,2016,CarMax Bakersfield - Now Open,"$19,998"
Escape,"21,976 Miles",Montclair,2022,IE Motors Direct,"$27,149"
F-250 Super Duty,New,Fontana,2023,Sunrise Ford,"$70,620"
Mustang,"25,922 Miles",Riverside,2022,Hertz Car Sales Riverside,"$26,949"
Mustang,"91,806 Miles",Santa Ana,2010,California Motors Direct,"$18,048"
Mustang,"66,255 Miles",Montclair,2018,Montclair Auto Exchange,"$36,799"
Flex,"80,244 Miles",Commerce,2018,Shift LA - Test Drives Delivered To You,"$19,400"
Escape,"60,270 Miles",Valencia,2020,Lexus Of Valencia,"$24,888"
Fusion,"54,915 Miles",Fontana,2018,Fontana Motors Direct,"$16,886"
Mustang,"35,887 Miles",Riverside,2021,RubyCar By Avis,"$27,500"
Fusion,"57,029 Miles",Montclair,2019,Montclair Auto Exchange,"$17,899"
Mustang,"58,365 Miles",Montclair,2020,Montclair Auto Exchange,"$23,499"
F-150,"82,919 Miles",Bellflower,2019,605 Auto Sales,"$28,999"
Escape,"43,605 Miles",Norwalk,2021,Hertz Car Sales Norwalk,"$20,259"
Mustang,"45,125 Miles",Victorville,2019,Avis Car Sales - Victorville,"$22,995"
Edge,"15,836 Miles",Los Angeles,2021,Universal City Nissan,"$27,900"
F-150,"108,661 Miles",Commerce,2012,Shift LA - Test Drives Delivered To You,"$18,350"
Escape,"59,629 Miles",Van Nuys,2019,Keyes European Mercedes-Benz,"$21,183"
Fiesta,"93,680 Miles",Bakersfield,2014,CarMax Bakersfield - Now Open,"$14,998"
Fusion,"58,367 Miles",Azusa,2017,California Motor Trade 2,"$14,459"
Mustang,"44,769 Miles",Norwalk,2021,Hertz Car Sales Norwalk,"$25,365"
F-150,New,Riverside,2023,Fritts Ford,"$60,490"
Fusion,"71,476 Miles",Fontana,2019,Fontana Motors Direct,"$14,874"
Edge,"63,330 Miles",Montebello,2012,LA Auto Exchange,"$14,999"
Escape,"21,132 Miles",Montclair,2020,Montclair Auto Exchange,"$20,149"
Mustang,"53,167 Miles",Montclair,2020,Montclair Auto Exchange,"$23,700"
Fusion Energi,"71,034 Miles",Montclair,2015,Montclair Auto Exchange,"$13,949"
Fusion,"92,181 Miles",Calabasas,2019,Audi Calabasas,"$21,453"
Taurus,"84,964 Miles",Montebello,2018,LA Auto Exchange,"$14,740"
Flex,"77,354 Miles",Montebello,2016,LA Auto Exchange,"$17,699"
F-150,"97,418 Miles",Los Angeles,2017,Center Acura,"$32,345"
Focus,"119,778 Miles",Westlake Village,2014,DCH Ford Of Thousand Oaks,"$7,995"
Transit,"103,949 Miles",Oxnard,2020,DCH Audi Oxnard,"$34,848"
Expedition MAX,"33,661 Miles",Van Nuys,2021,Keyes Lexus,"$47,888"
Explorer,"14,149 Miles",Norwalk,2022,Hertz Car Sales Norwalk,"$35,090"
F-150 Lightning,179 Miles,Los Angeles,2022,Airport Marina Ford,"$85,795"
F-250 Super Duty,90 Miles,Los Angeles,2023,Airport Marina Ford,"$92,395"
Fusion,"27,170 Miles",Van Nuys,2020,Keyes Lexus,"$22,500"
Mustang Mach-E,New,Orange,2023,Villa Ford,"$54,795"
F-150,New,Orange,2023,Villa Ford,"$76,845"
Explorer,"16,247 Miles",Montclair,2020,IE Motors Direct,"$31,899"
F-150,"51,148 Miles",Palmdale,2020,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$35,998"
Mustang,"38,261 Miles",Placentia,2014,SC MOTORS,"$25,718"
F-250 Super Duty,"98,566 Miles",Fullerton,2019,OC Auto Exchange,"$40,034"
Escape,"33,319 Miles",Santa Ana,2020,California Motors Direct,"$20,999"
Escape Hybrid,"22,211 Miles",Azusa,2009,California Motor Trade 2,"$13,999"
Mustang Mach-E,New,Riverside,2023,Fritts Ford,"$47,495"
Mustang,"44,319 Miles",Placentia,2020,SC MOTORS,"$33,418"
Escape,"70,131 Miles",Commerce,2019,Shift LA - Test Drives Delivered To You,"$18,350"
Edge,"66,465 Miles",Riverside,2019,Hertz Car Sales Riverside,"$21,134"
Flex,"97,275 Miles",Montclair,2017,IE Motors Direct,"$16,099"
Ranger,"30,442 Miles",Los Angeles,2020,Airport Marina Ford,"$32,995"
F-150,"20,736 Miles",Westlake Village,2020,DCH Ford Of Thousand Oaks,"$43,995"
Expedition,"36,926 Miles",Riverside,2021,Hertz Car Sales Riverside,"$48,749"
Bronco Sport,New,Orange,2023,Villa Ford,"$39,370"
Explorer,"171,249 Miles",Fullerton,2016,OC Auto Exchange,"$12,999"
F-150,"45,215 Miles",Norco,2019,CarMax Norco - Now Offering Curbside Pickup & Home Delivery,"$34,998"
Edge,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$40,835"
Fusion,"38,551 Miles",Fullerton,2019,OC Auto Exchange,"$17,999"
Fusion Hybrid,"37,420 Miles",Los Angeles,2020,Galpin Ford,"$25,000"
Escape,"101,267 Miles",Santa Ana,2014,California Motors Direct,"$11,620"
F-550 Super Duty Chassis,New,North Hollywood,2022,Sunrise Ford Of North Hollywood,"$101,999"
Fusion Energi,"41,616 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$22,691"
F-150,"3,761 Miles",Orange,2022,Stadium Nissan,"$88,995"
Explorer,"53,343 Miles",Commerce,2019,Shift LA - Test Drives Delivered To You,"$30,700"
Fusion,"70,887 Miles",Norco,2016,California Motor Trade,"$12,849"
F-150,"57,433 Miles",Bakersfield,2020,CarMax Bakersfield - Now Open,"$31,998"
Fusion,"21,882 Miles",Montclair,2019,IE Motors Direct,"$19,788"
Escape,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$34,005"
Mustang,"17,719 Miles",Montclair,2020,IE Motors Direct,"$40,799"
Explorer,"15,513 Miles",Los Angeles,2020,Airport Marina Ford,"$31,995"
Fusion Energi,"46,409 Miles",Orange,2017,Villa Ford,"$19,900"
Ranger,"45,788 Miles",West Covina,2019,Performance Ford,"$34,991"
Escape,"99,083 Miles",Simi Valley,2013,Simi Valley Chrysler Dodge Jeep Ram,"$11,175"
Fusion,"54,223 Miles",Montebello,2019,LA Auto Exchange,"$16,999"
F-150,"39,918 Miles",Mission Hills,2020,Keyes Mission Hills Hyundai,"$37,991"
Explorer,"76,837 Miles",Montclair,2016,Montclair Auto Exchange,"$21,399"
Mustang Mach-E,"6,846 Miles",Van Nuys,2021,Keyes European Mercedes-Benz,"$49,631"
Fiesta,"61,131 Miles",Montebello,2014,LA Auto Exchange,"$10,335"
Mustang,"75,237 Miles",Oxnard,2016,DCH Honda Of Oxnard,"$18,500"
Fusion,"61,812 Miles",Los Angeles,2020,Universal City Nissan,"$20,995"
Mustang,"47,523 Miles",Torrance,2021,Hertz Car Sales Torrance,"$23,298"
F-150,New,Riverside,2023,Fritts Ford,"$75,350"
Bronco Sport,"38,554 Miles",Placentia,2021,SC MOTORS,"$27,918"
Explorer,"30,358 Miles",Montclair,2021,Montclair Auto Exchange,"$28,549"
Mustang,"23,608 Miles",West Covina,2021,Performance Ford,"$29,998"
Fusion,"102,225 Miles",Norco,2017,CarMax Norco - Now Offering Curbside Pickup & Home Delivery,"$14,998"
Fusion Hybrid,"35,549 Miles",Fontana,2020,Fontana Motors Direct,"$22,749"
Mustang,"17,810 Miles",Norwalk,2022,Hertz Car Sales Norwalk,"$39,250"
F-150,"20,329 Miles",Norco,2021,CarMax Norco - Now Offering Curbside Pickup & Home Delivery,"$56,998"
Ranger,"31,948 Miles",West Covina,2021,Performance Ford,"$32,989"
Mustang,"45,512 Miles",Montebello,2019,LA Auto Exchange,"$23,205"
Transit Connect,"188,043 Miles",Montclair,2015,IE Motors Direct,"$9,399"
Explorer,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$50,860"
F-150,New,Riverside,2023,Fritts Ford,"$61,340"
Fusion,"97,664 Miles",Norco,2015,CarMax Norco - Now Offering Curbside Pickup & Home Delivery,"$14,599"
Escape,"47,232 Miles",Torrance,2021,Hertz Car Sales Torrance,"$19,900"
Escape,"67,246 Miles",Oxnard,2019,DCH Honda Of Oxnard,"$18,000"
Mustang Mach-E,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$48,830"
Mustang,"44,376 Miles",Victorville,2019,Avis Car Sales - Victorville,"$32,695"
Escape Hybrid,"44,587 Miles",Azusa,2009,California Motor Trade 2,"$12,499"
Edge,"5,420 Miles",Bakersfield,2020,CarMax Bakersfield - Now Open,"$35,998"
Edge,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$40,835"
F-150,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$58,215"
Mustang,"46,078 Miles",Norwalk,2021,Hertz Car Sales Norwalk,"$23,264"
Escape,"85,416 Miles",Hawthorne,2014,Hawthorne Auto Square Inc,"$15,995"
Fiesta,"74,530 Miles",Bakersfield,2018,CarMax Bakersfield - Now Open,"$13,998"
Ranger,"46,109 Miles",Montebello,2019,LA Auto Exchange,"$31,075"
Escape,"55,224 Miles",Placentia,2019,SC MOTORS,"$16,818"
F-150,"65,685 Miles",Montclair,2011,Montclair Auto Exchange,"$21,899"
Escape,"30,777 Miles",Norwalk,2022,Hertz Car Sales Norwalk,"$24,234"
Mustang Mach-E,New,Orange,2023,Villa Ford,"$51,795"
Fusion,"57,243 Miles",Fontana,2019,Fontana Motors Direct,"$17,999"
Mustang,"17,461 Miles",Rowland Heights,2019,Puente Hills Hyundai,"$45,995"
F-150,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$56,750"
Fusion,"59,839 Miles",Los Angeles,2020,Universal City Nissan,"$21,995"
Mustang Mach-E,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$56,035"
F-150,"84,270 Miles",Palmdale,2012,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$23,998"
Focus,"127,431 Miles",Commerce,2012,Shift LA - Test Drives Delivered To You,"$7,450"
Fusion Hybrid,"59,664 Miles",Montclair,2019,IE Motors Direct,"$19,690"
Fusion,"62,663 Miles",Los Angeles,2020,Universal City Nissan,"$20,995"
Explorer,"9,390 Miles",Los Angeles,2022,Center Acura,"$44,398"
Bronco Sport,New,Ridgecrest,2023,Jim Charlon Ford Incorporated,"$40,485"
Ranger,"23,282 Miles",Los Angeles,2020,Airport Marina Ford,"$29,995"
Mustang,"68,162 Miles",Fullerton,2017,OC Auto Exchange,"$28,999"
Edge,"35,868 Miles",Riverside,2022,Hertz Car Sales Riverside,"$26,672"
Escape Hybrid,"51,610 Miles",Carson,2020,Carson Nissan,"$26,629"
F-150,"20,714 Miles",Anaheim,2017,Hardin Buick GMC,"$53,700"
Mustang,"61,131 Miles",Oxnard,2018,DCH Honda Of Oxnard,"$23,200"
Mustang,"49,364 Miles",Torrance,2021,Hertz Car Sales Torrance,"$23,746"
Ranger,"39,554 Miles",Santa Ana,2020,California Motors Direct,"$30,480"
Edge,"113,544 Miles",Fontana,2008,Rock Honda,"$6,749"
Escape,"61,957 Miles",Bellflower,2019,605 Auto Sales,"$15,649"
Mustang,"3,693 Miles",West Covina,2020,Performance Ford,"$31,991"
Explorer,"71,907 Miles",Placentia,2017,SC MOTORS,"$19,718"
Focus,"134,663 Miles",Fullerton,2007,OC Auto Exchange,"$3,959"
F-150,"26,459 Miles",Fontana,2020,Sunrise Ford,"$39,499"
Mustang,"85,347 Miles",Culver City,2014,Culver City Chevrolet,"$14,995"
Bronco,"6,107 Miles",Westlake Village,2021,DCH Ford Of Thousand Oaks,"$63,995"
Mustang,"48,148 Miles",Fullerton,2020,OC Auto Exchange,"$24,244"
Flex,"33,860 Miles",Fontana,2019,Fontana Motors Direct,"$22,799"
F-150,"40,849 Miles",Rowland Heights,2019,Puente Hills Hyundai,"$37,995"
Mustang,"17,482 Miles",Van Nuys,2021,Van Nuys Kia ,"$29,000"
Focus,"94,228 Miles",Bakersfield,2017,CarMax Bakersfield - Now Open,"$12,998"
Escape Hybrid,"33,742 Miles",Azusa,2009,California Motor Trade 2,"$12,999"
F-150,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$64,690"
Edge,"53,598 Miles",Santa Ana,2020,California Motors Direct,"$19,592"
Edge,"51,383 Miles",Oxnard,2020,DCH Audi Oxnard,"$22,983"
Expedition,"23,808 Miles",Riverside,2021,Fritts Ford,"$59,866"
Mustang,"96,171 Miles",Palmdale,2015,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$17,998"
Escape Hybrid,"18,796 Miles",Azusa,2012,California Motor Trade 2,"$15,499"
Mustang,"48,020 Miles",Torrance,2021,Hertz Car Sales Torrance,"$23,393"
Escape,"109,779 Miles",Palmdale,2017,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$14,998"
Explorer,"35,300 Miles",Westlake Village,2020,DCH Ford Of Thousand Oaks,"$41,995"
Escape,"71,650 Miles",Alhambra,2017,Acura Of Alhambra,"$17,299"
F-150,"11,683 Miles",Westlake Village,2021,DCH Ford Of Thousand Oaks,"$39,982"
F-150,"14,165 Miles",Montebello,2020,Chevrolet Of Montebello,"$36,992"
Fusion,"34,940 Miles",Placentia,2020,SC MOTORS,"$18,618"
Escape,"41,145 Miles",Riverside,2021,Hertz Car Sales Riverside,"$21,238"
Mustang,"63,497 Miles",Montclair,2015,Montclair Auto Exchange,"$20,799"
Escape Hybrid,"34,067 Miles",Oxnard,2020,DCH Audi Oxnard,"$29,952"
Fusion Hybrid,"69,105 Miles",Montclair,2017,Montclair Auto Exchange,"$15,948"
Mustang,"21,071 Miles",Riverside,2022,Hertz Car Sales Riverside,"$39,097"
Mustang,"53,512 Miles",Colton,2021,Avis Car Sales - Colton,"$23,995"
F-150,"3,414 Miles",Westlake Village,2023,DCH Ford Of Thousand Oaks,"$56,735"
Edge,"83,008 Miles",Montebello,2019,LA Auto Exchange,"$16,499"
Edge,"22,861 Miles",Fontana,2018,Fontana Motors Direct,"$21,388"
F-150,"48,549 Miles",Los Angeles,2018,Airport Marina Ford,"$59,995"
F-250 Super Duty,"28,000 Miles",Ridgecrest,2021,Jim Charlon Ford Incorporated,"$77,950"
Mustang Mach-E,New,Fontana,2023,Sunrise Ford,"$60,035"
Escape,"53,150 Miles",Westlake Village,2018,DCH Ford Of Thousand Oaks,"$16,995"
F-350 Super Duty,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$68,935"
Mustang,"57,485 Miles",Montebello,2017,LA Auto Exchange,"$31,099"
Fusion,"54,789 Miles",Anaheim,2020,Hertz Car Sales Anaheim,"$17,799"
Flex,"74,886 Miles",Oxnard,2019,DCH Honda Of Oxnard,"$22,600"
F-350 Super Duty,"108,812 Miles",Fontana,2017,Rock Honda,"$51,474"
Edge,"50,733 Miles",Norwalk,2018,Hertz Car Sales Norwalk,"$22,513"
Fusion Hybrid,"91,403 Miles",Montclair,2017,Montclair Auto Exchange,"$14,386"
Mustang,"54,061 Miles",Riverside,2021,Hertz Car Sales Riverside,"$24,371"
Fusion Hybrid,"67,719 Miles",Van Nuys,2019,Keyes Lexus,"$17,500"
Bronco Sport,"10,234 Miles",Riverside,2022,Moss Bros Chrysler Jeep Dodge Riverside,"$30,986"
Explorer,New,Ridgecrest,2023,Jim Charlon Ford Incorporated,"$51,346"
Ranger,"11,683 Miles",Rowland Heights,2020,Puente Hills Hyundai,"$40,988"
Mustang,"11,028 Miles",West Covina,2016,Performance Ford,"$60,891"
Mustang,"14,570 Miles",Placentia,2022,SC MOTORS,"$29,399"
F-150,"83,665 Miles",Oxnard,2017,DCH Honda Of Oxnard,"$46,000"
Mustang,"39,191 Miles",Victorville,2019,Avis Car Sales - Victorville,"$33,995"
Fusion Hybrid,"59,892 Miles",Fullerton,2019,OC Auto Exchange,"$19,999"
F-150,"37,384 Miles",Santa Ana,2018,California Motors Direct,"$39,999"
Taurus,"61,073 Miles",Montebello,2015,LA Auto Exchange,"$13,896"
Escape,"53,836 Miles",Colton,2020,Avis Car Sales - Colton,"$23,995"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$86,570"
Expedition,New,Fontana,2023,Sunrise Ford,"$79,870"
Mustang Mach-E,"3,756 Miles",Tustin,2023,DCH Tustin Acura,"$62,250"
Transit,"61,196 Miles",Placentia,2019,SC MOTORS,"$34,718"
Fiesta,"50,460 Miles",Montclair,2019,Montclair Auto Exchange,"$14,386"
Escape,"18,639 Miles",Orange,2022,Stadium Nissan,"$25,795"
Mustang,"38,547 Miles",Montebello,2019,LA Auto Exchange,"$35,799"
Explorer,"9,290 Miles",Westlake Village,2022,DCH Ford Of Thousand Oaks,"$49,985"
Transit,"37,718 Miles",Hawthorne,2019,Hawthorne Auto Square Inc,"$48,995"
Explorer,"34,561 Miles",Montclair,2020,Montclair Auto Exchange,"$29,899"
Bronco Sport,"18,902 Miles",Bellflower,2022,George Chevrolet,"$36,980"
Fusion Hybrid,"96,745 Miles",West Covina,2018,Performance Ford,"$16,717"
F-150,"43,163 Miles",Westlake Village,2019,DCH Ford Of Thousand Oaks,"$32,922"
Escape Hybrid,"53,430 Miles",Bakersfield,2021,Bakersfield Mazda,"$26,643"
Explorer,New,Orange,2023,Villa Ford,"$61,210"
Focus,"68,254 Miles",Fullerton,2016,OC Auto Exchange,"$19,641"
Mustang,"16,448 Miles",Santa Ana,2019,California Motors Direct,"$39,499"
Explorer,"19,812 Miles",North Hollywood,2020,Sunrise Ford Of North Hollywood,"$28,215"
EcoSport,"21,771 Miles",Bakersfield,2022,CarMax Bakersfield - Now Open,"$20,998"
F-150,"27,873 Miles",Santa Ana,2017,California Motors Direct,"$36,421"
Maverick,"26,385 Miles",Culver City,2022,Culver City Honda,"$33,542"
Fusion Energi,"41,601 Miles",Duarte,2020,Nissan Of Duarte,"$25,991"
Fusion Hybrid,"41,900 Miles",Victorville,2019,Avis Car Sales - Victorville,"$19,995"
Explorer,633 Miles,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$39,995"
Flex,"36,947 Miles",Victorville,2019,Avis Car Sales - Victorville,"$26,395"
Mustang,"48,200 Miles",Glendale,2021,Avis Car Sales - Glendale,"$22,912"
Fusion Hybrid,"46,260 Miles",Montclair,2020,Montclair Auto Exchange,"$19,999"
Fiesta,"71,424 Miles",Montclair,2013,Montclair Auto Exchange,"$9,849"
Mustang Mach-E,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$62,795"
Expedition MAX,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$92,765"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$79,290"
Escape,New,North Hollywood,2022,Sunrise Ford Of North Hollywood,"$32,495"
Thunderbird,"114,410 Miles",Sherman Oaks,2002,Universal Mitsubishi,"$11,775"
Mustang,"47,281 Miles",Fontana,2021,Fontana Hyundai,"$38,100"
F-150,"13,799 Miles",Duarte,2021,Nissan Of Duarte,"$48,981"
Edge,"61,011 Miles",Torrance,2019,Hertz Car Sales Torrance,"$19,689"
F-150,New,Riverside,2023,Fritts Ford,"$52,975"
F-150,"61,830 Miles",Norco,2019,California Motor Trade,"$29,899"
Edge,"106,459 Miles",Sherman Oaks,2013,Universal Mitsubishi,"$11,770"
Fiesta,"114,683 Miles",Fontana,2012,Sunrise Ford,"$7,888"
Mustang,"51,817 Miles",Carson,2021,Kia Of Carson,"$26,977"
Edge,"63,241 Miles",Westlake Village,2019,DCH Ford Of Thousand Oaks,"$20,895"
Fusion,"63,040 Miles",Oxnard,2020,DCH Audi Oxnard,"$20,976"
F-150,"98,253 Miles",Palmdale,2014,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$20,998"
F-150,"89,891 Miles",Bakersfield,2011,CarMax Bakersfield - Now Open,"$23,998"
F-150,"60,689 Miles",Bakersfield,2020,Bakersfield Mazda,"$38,561"
Bronco Sport,New,Ridgecrest,2023,Jim Charlon Ford Incorporated,"$43,625"
F-1,169 Miles,Los Angeles,1951,Motor Cars LA LLC,"$49,950"
F-250 Super Duty,"40,401 Miles",Van Nuys,2021,Van Nuys Chrysler Dodge Jeep Ram,"$61,998"
Mustang,"48,436 Miles",Van Nuys,2019,Keyes Toyota,"$24,777"
Explorer,"83,007 Miles",Norco,2014,California Motor Trade,"$20,049"
Fusion,"55,961 Miles",Mission Hills,2020,Hamer Toyota,"$21,592"
Focus,"54,454 Miles",Carson,2018,Carson Nissan,"$11,572"
F-150,New,Riverside,2023,Fritts Ford,"$44,695"
Bronco Sport,"3,563 Miles",Orange,2022,Villa Ford,"$35,900"
F-150,New,Riverside,2023,Fritts Ford,"$68,325"
F-250 Super Duty,"68,025 Miles",Westlake Village,2020,DCH Ford Of Thousand Oaks,"$57,985"
Mustang,"57,221 Miles",Victorville,2019,Avis Car Sales - Victorville,"$22,990"
F-150,New,Riverside,2023,Fritts Ford,"$47,795"
Mustang,"40,454 Miles",Glendale,2021,Avis Car Sales - Glendale,"$24,085"
Fusion,"106,563 Miles",Fontana,2017,Sunrise Ford,"$15,999"
F-350 Super Duty,"89,407 Miles",Fontana,2020,Rock Honda,"$61,068"
Fusion,"60,254 Miles",Los Angeles,2020,Universal City Nissan,"$21,888"
Taurus,"43,817 Miles",Montebello,2018,Chevrolet Of Montebello,"$23,534"
Explorer,"89,283 Miles",Montclair,2017,IE Motors Direct,"$20,048"
Escape,"27,350 Miles",Riverside,2020,DCH Subaru Of Riverside,"$23,599"
Mustang,"74,792 Miles",Lancaster,2016,Toyota Of Lancaster,"$19,997"
Mustang,"46,846 Miles",Norco,2018,California Motor Trade,"$21,349"
Fusion Hybrid,"76,809 Miles",Hawthorne,2017,Hawthorne Auto Square Inc,"$17,995"
Mustang,"39,591 Miles",Montclair,2018,Metro Nissan Of Montclair,"$24,988"
F-150,"39,580 Miles",Orange,2020,Stadium Nissan,"$67,595"
Transit,"28,960 Miles",Orange,2020,Villa Ford,"$60,900"
Fusion,"39,838 Miles",West Covina,2020,Performance Ford,"$22,599"
Focus,"45,220 Miles",Azusa,2017,California Motor Trade 2,"$13,099"
EcoSport,"46,867 Miles",Van Nuys,2021,Keyes Lexus,"$20,888"
Mustang Mach-E,New,Orange,2023,Villa Ford,"$59,090"
Focus,"64,791 Miles",Placentia,2018,SC MOTORS,"$11,468"
F-150,"14,673 Miles",Anaheim,2022,JStar Chrysler Jeep Dodge RAM,"$86,900"
Fusion Hybrid,"78,017 Miles",Fullerton,2015,OC Auto Exchange,"$14,443"
Fusion,"8,871 Miles",Los Angeles,2020,Mercedes-Benz Of Los Angeles,"$23,704"
Explorer,"83,812 Miles",Fontana,2017,Rock Honda,"$21,328"
Edge,"51,014 Miles",Glendale,2021,Avis Car Sales - Glendale,"$22,850"
F-250 Super Duty,New,Riverside,2022,Fritts Ford,"$66,120"
C-MAX Energi,"69,937 Miles",Montclair,2017,Montclair Auto Exchange,"$15,906"
F-150 Lightning,New,Riverside,2023,Fritts Ford,"$89,679"
Bronco Sport,902 Miles,Signal Hill,2022,Long Beach Honda,"$35,332"
EcoSport,"45,465 Miles",Victorville,2021,Avis Car Sales - Victorville,"$20,395"
Edge,"59,742 Miles",Montclair,2020,Montclair Auto Exchange,"$20,699"
Expedition,"19,944 Miles",Norwalk,2022,Hertz Car Sales Norwalk,"$61,358"
Fusion,"55,424 Miles",Torrance,2019,Hertz Car Sales Torrance,"$17,380"
Explorer,"36,630 Miles",Anaheim,2022,Hertz Car Sales Anaheim,"$28,846"
Explorer,New,Riverside,2023,Fritts Ford,"$47,735"
Explorer,"1,647 Miles",Westlake Village,2023,DCH Ford Of Thousand Oaks,"$42,984"
Fusion Energi,"29,665 Miles",Westlake Village,2020,DCH Ford Of Thousand Oaks,"$23,732"
C-MAX Energi,"38,898 Miles",Montebello,2013,LA Auto Exchange,"$15,582"
F-250 Super Duty,New,North Hollywood,2022,Sunrise Ford Of North Hollywood,"$69,950"
Ranger,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$48,960"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$54,250"
F-150,"56,524 Miles",Palmdale,2018,CarMax Palmdale - Now Offering Curbside Pickup And Home Delivery,"$29,998"
F-150,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$73,715"
Ranger,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$44,280"
Explorer,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$47,620"
Ranger,"23,379 Miles",Los Angeles,2021,Galpin Ford,"$42,000"
Fusion Hybrid,"40,621 Miles",Fontana,2019,Fontana Motors Direct,"$18,299"
Bronco Sport,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$33,300"
Ranger,"34,950 Miles",Los Angeles,2020,Galpin Ford,"$35,500"
Transit Connect,"37,518 Miles",Porterville,2021,Porterville Ford,"$29,996"
Mustang,"68,911 Miles",Fontana,2019,Rock Honda,"$22,038"
F-150,New,Westlake Village,2023,DCH Ford Of Thousand Oaks,"$57,220"
F-150,"54,801 Miles",West Covina,2019,Performance Ford,"$33,891"
F-150,New,Fontana,2023,Sunrise Ford,"$76,225"
E-Series,901 Miles,Fontana,2022,Sunrise Ford,"$49,888"
Fiesta,"60,153 Miles",Azusa,2018,California Motor Trade 2,"$12,199"
Fusion,"36,333 Miles",Lancaster,2018,Diamond Mazda,"$18,772"
F-150,"83,021 Miles",Fontana,2018,Rock Honda,"$50,481"
F-150,"2,040 Miles",Westlake Village,2023,DCH Ford Of Thousand Oaks,"$49,982"
F-150,New,North Hollywood,2023,Sunrise Ford Of North Hollywood,"$104,995"
Fusion,"59,526 Miles",Fullerton,2019,OC Auto Exchange,"$17,471"
